ERROR|Tue, 26 Nov 2013 05:49:04 +1300|visitor|content|/&|141.101.99.165|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 08:35:03 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 08:35:03 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 08:35:09 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 08:35:25 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
INFO|Tue, 26 Nov 2013 08:59:11 +1300|site|favicon|/favicon.ico|108.162.208.190|live|The site favicon could not be found.
ERROR|Tue, 26 Nov 2013 09:08:24 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:08:55 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:12:08 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:12:30 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:35:24 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:35:31 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Tue, 26 Nov 2013 09:35:31 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
