INFO|Wed, 08 Jan 2014 03:15:36 +1300|site|favicon|/favicon.ico|199.27.128.112|live|The site favicon could not be found.
ERROR|Wed, 08 Jan 2014 04:40:17 +1300|visitor|content|/administrator/index.php|173.245.53.24|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 04:40:18 +1300|visitor|content|/wp-login.php|173.245.53.24|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 10:52:42 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 10:53:15 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 10:54:56 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 10:55:58 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 11:53:19 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 11:55:09 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 11:56:10 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 12:53:53 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 12:55:23 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 12:56:37 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 13:54:56 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 13:56:06 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 13:56:55 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 14:56:00 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 14:56:20 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Wed, 08 Jan 2014 14:57:45 +1300|visitor|content|/autodiscover/autodiscover.xml|108.162.249.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
